id,date,no,jenis,ukuran,is_statue,omset,ongkir,total,hpp,filament_grams,filament_kg,filament_cost,patung,n12,c12,f12,n15,c15,f15,sn12,sc12,sf12,sn15,sc15,sf15,notes
64,2026-06-20,04,Single,12cm,False,174000,25000,199000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
65,2026-06-20,05,Single,15cm,False,294000,25000,319000,109340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,"akrilik 1x: jual Rp90.000, HPP Rp70.000"
66,2026-06-20,06,Single,-,False,378000,25000,403000,78161,200,0.2,31600,2,1,0,0,1,0,0,0,0,0,0,0,0,2 patung: topi toga 15cm + jubah wisuda 12cm
67,2026-06-21,01,Single,12cm,False,159000,25000,184000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
68,2026-06-21,02,Single,15cm,False,189000,25000,214000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
69,2026-06-21,03,Single,15cm,False,209000,25000,234000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
70,2026-06-21,04,Single,15cm,False,174000,25000,199000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
71,2026-06-21,05,Single,12cm,False,169000,30000,199000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
72,2026-06-21,06,Single,15cm,False,199000,25000,224000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
73,2026-06-21,07,Single,15cm,True,199000,25000,224000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
74,2026-06-21,08,Couple,15cm,True,254000,25000,279000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
75,2026-06-21,09,Couple,15cm,True,249000,25000,274000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
76,2026-06-22,01,Couple,15cm,True,199000,25000,224000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
77,2026-06-22,,single,15cm,True,170000,25000,195000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
78,2026-06-22,03,single,12cm,True,174000,25000,199000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
79,2026-06-22,05,family,12cm,True,314000,30000,344000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,harga tinggi tapi jenis single; cek manual; statue: painter 0
80,2026-06-22,06,Couple,12cm,False,249000,10000,259000,103440,300,0.3,47400,2,0,2,0,0,0,0,0,0,0,0,0,0,
81,2026-06-22,03,single,12cm,True,174000,25000,199000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
82,2026-06-22,07,Couple,15cm,True,249000,25000,274000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
83,2026-06-22,09,Couple,15cm,True,204000,25000,229000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
84,2026-06-22,09,single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
85,2026-06-23,01,1 Single & 2 Couple,15cm,False,852000,20000,872000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
